Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0101M,1984,A01,1984 Annual,21975
CXUTOTALEXPLB0101M,1985,A01,1985 Annual,23490
CXUTOTALEXPLB0101M,1986,A01,1986 Annual,23866
CXUTOTALEXPLB0101M,1987,A01,1987 Annual,24414
CXUTOTALEXPLB0101M,1988,A01,1988 Annual,25892
CXUTOTALEXPLB0101M,1989,A01,1989 Annual,27810
CXUTOTALEXPLB0101M,1990,A01,1990 Annual,28381
CXUTOTALEXPLB0101M,1991,A01,1991 Annual,29614
CXUTOTALEXPLB0101M,1992,A01,1992 Annual,29846
CXUTOTALEXPLB0101M,1993,A01,1993 Annual,30692
CXUTOTALEXPLB0101M,1994,A01,1994 Annual,31731
CXUTOTALEXPLB0101M,1995,A01,1995 Annual,32264
CXUTOTALEXPLB0101M,1996,A01,1996 Annual,33797
CXUTOTALEXPLB0101M,1997,A01,1997 Annual,34819
CXUTOTALEXPLB0101M,1998,A01,1998 Annual,35535
CXUTOTALEXPLB0101M,1999,A01,1999 Annual,36995
CXUTOTALEXPLB0101M,2000,A01,2000 Annual,38045
CXUTOTALEXPLB0101M,2001,A01,2001 Annual,39518
CXUTOTALEXPLB0101M,2002,A01,2002 Annual,40677
CXUTOTALEXPLB0101M,2003,A01,2003 Annual,40817
CXUTOTALEXPLB0101M,2004,A01,2004 Annual,43395
CXUTOTALEXPLB0101M,2005,A01,2005 Annual,46409
CXUTOTALEXPLB0101M,2006,A01,2006 Annual,48398
CXUTOTALEXPLB0101M,2007,A01,2007 Annual,49638
CXUTOTALEXPLB0101M,2008,A01,2008 Annual,50486
CXUTOTALEXPLB0101M,2009,A01,2009 Annual,49067
CXUTOTALEXPLB0101M,2010,A01,2010 Annual,48109
CXUTOTALEXPLB0101M,2011,A01,2011 Annual,49705
CXUTOTALEXPLB0101M,2012,A01,2012 Annual,51442
CXUTOTALEXPLB0101M,2013,A01,2013 Annual,51100
CXUTOTALEXPLB0101M,2014,A01,2014 Annual,53495
CXUTOTALEXPLB0101M,2015,A01,2015 Annual,55978
CXUTOTALEXPLB0101M,2016,A01,2016 Annual,57311
CXUTOTALEXPLB0101M,2017,A01,2017 Annual,60060
CXUTOTALEXPLB0101M,2018,A01,2018 Annual,61224
CXUTOTALEXPLB0101M,2019,A01,2019 Annual,63036
CXUTOTALEXPLB0101M,2020,A01,2020 Annual,61332
CXUTOTALEXPLB0101M,2021,A01,2021 Annual,66928
CXUTOTALEXPLB0101M,2022,A01,2022 Annual,72973
CXUTOTALEXPLB0101M,2023,A01,2023 Annual,77280
CXUTOTALEXPLB0101M,2024,A01,2024 Annual,78535
