Series ID,Year,Period,Label,Value
CXUHEALTHLB0101M,1984,A01,1984 Annual,1049
CXUHEALTHLB0101M,1985,A01,1985 Annual,1108
CXUHEALTHLB0101M,1986,A01,1986 Annual,1135
CXUHEALTHLB0101M,1987,A01,1987 Annual,1135
CXUHEALTHLB0101M,1988,A01,1988 Annual,1298
CXUHEALTHLB0101M,1989,A01,1989 Annual,1407
CXUHEALTHLB0101M,1990,A01,1990 Annual,1480
CXUHEALTHLB0101M,1991,A01,1991 Annual,1554
CXUHEALTHLB0101M,1992,A01,1992 Annual,1634
CXUHEALTHLB0101M,1993,A01,1993 Annual,1776
CXUHEALTHLB0101M,1994,A01,1994 Annual,1755
CXUHEALTHLB0101M,1995,A01,1995 Annual,1732
CXUHEALTHLB0101M,1996,A01,1996 Annual,1770
CXUHEALTHLB0101M,1997,A01,1997 Annual,1841
CXUHEALTHLB0101M,1998,A01,1998 Annual,1903
CXUHEALTHLB0101M,1999,A01,1999 Annual,1959
CXUHEALTHLB0101M,2000,A01,2000 Annual,2066
CXUHEALTHLB0101M,2001,A01,2001 Annual,2182
CXUHEALTHLB0101M,2002,A01,2002 Annual,2350
CXUHEALTHLB0101M,2003,A01,2003 Annual,2416
CXUHEALTHLB0101M,2004,A01,2004 Annual,2574
CXUHEALTHLB0101M,2005,A01,2005 Annual,2664
CXUHEALTHLB0101M,2006,A01,2006 Annual,2766
CXUHEALTHLB0101M,2007,A01,2007 Annual,2853
CXUHEALTHLB0101M,2008,A01,2008 Annual,2976
CXUHEALTHLB0101M,2009,A01,2009 Annual,3126
CXUHEALTHLB0101M,2010,A01,2010 Annual,3157
CXUHEALTHLB0101M,2011,A01,2011 Annual,3313
CXUHEALTHLB0101M,2012,A01,2012 Annual,3556
CXUHEALTHLB0101M,2013,A01,2013 Annual,3631
CXUHEALTHLB0101M,2014,A01,2014 Annual,4290
CXUHEALTHLB0101M,2015,A01,2015 Annual,4342
CXUHEALTHLB0101M,2016,A01,2016 Annual,4612
CXUHEALTHLB0101M,2017,A01,2017 Annual,4928
CXUHEALTHLB0101M,2018,A01,2018 Annual,4968
CXUHEALTHLB0101M,2019,A01,2019 Annual,5193
CXUHEALTHLB0101M,2020,A01,2020 Annual,5177
CXUHEALTHLB0101M,2021,A01,2021 Annual,5452
CXUHEALTHLB0101M,2022,A01,2022 Annual,5856
CXUHEALTHLB0101M,2023,A01,2023 Annual,6159
CXUHEALTHLB0101M,2024,A01,2024 Annual,6197
