Series ID,Year,Period,Label,Value
SUUR0000SAT,1999,M12,1999 Dec,100.0
SUUR0000SAT,2000,M01,2000 Jan,99.9
SUUR0000SAT,2000,M02,2000 Feb,100.8
SUUR0000SAT,2000,M03,2000 Mar,103.0
SUUR0000SAT,2000,M04,2000 Apr,102.8
SUUR0000SAT,2000,M05,2000 May,102.9
SUUR0000SAT,2000,M06,2000 Jun,104.2
SUUR0000SAT,2000,M07,2000 Jul,103.9
SUUR0000SAT,2000,M08,2000 Aug,102.8
SUUR0000SAT,2000,M09,2000 Sep,103.8
SUUR0000SAT,2000,M10,2000 Oct,103.7
SUUR0000SAT,2000,M11,2000 Nov,104.2
SUUR0000SAT,2000,M12,2000 Dec,103.6
SUUR0000SAT,2001,M01,2001 Jan,103.6
SUUR0000SAT,2001,M02,2001 Feb,103.8
SUUR0000SAT,2001,M03,2001 Mar,103.2
SUUR0000SAT,2001,M04,2001 Apr,104.7
SUUR0000SAT,2001,M05,2001 May,106.6
SUUR0000SAT,2001,M06,2001 Jun,106.1
SUUR0000SAT,2001,M07,2001 Jul,103.6
SUUR0000SAT,2001,M08,2001 Aug,102.8
SUUR0000SAT,2001,M09,2001 Sep,104.3
SUUR0000SAT,2001,M10,2001 Oct,102.4
SUUR0000SAT,2001,M11,2001 Nov,101.1
SUUR0000SAT,2001,M12,2001 Dec,99.7
SUUR0000SAT,2002,M01,2002 Jan,99.9
SUUR0000SAT,2002,M02,2002 Feb,99.7
SUUR0000SAT,2002,M03,2002 Mar,101.2
SUUR0000SAT,2002,M04,2002 Apr,103.3
SUUR0000SAT,2002,M05,2002 May,103.3
SUUR0000SAT,2002,M06,2002 Jun,103.0
SUUR0000SAT,2002,M07,2002 Jul,103.2
SUUR0000SAT,2002,M08,2002 Aug,103.3
SUUR0000SAT,2002,M09,2002 Sep,103.3
SUUR0000SAT,2002,M10,2002 Oct,103.9
SUUR0000SAT,2002,M11,2002 Nov,104.0
SUUR0000SAT,2002,M12,2002 Dec,103.3
SUUR0000SAT,2003,M01,2003 Jan,104.2
SUUR0000SAT,2003,M02,2003 Feb,106.4
SUUR0000SAT,2003,M03,2003 Mar,107.6
SUUR0000SAT,2003,M04,2003 Apr,106.5
SUUR0000SAT,2003,M05,2003 May,105.2
SUUR0000SAT,2003,M06,2003 Jun,104.9
SUUR0000SAT,2003,M07,2003 Jul,104.8
SUUR0000SAT,2003,M08,2003 Aug,105.7
SUUR0000SAT,2003,M09,2003 Sep,106.4
SUUR0000SAT,2003,M10,2003 Oct,104.9
SUUR0000SAT,2003,M11,2003 Nov,104.0
SUUR0000SAT,2003,M12,2003 Dec,103.4
SUUR0000SAT,2004,M01,2004 Jan,105.0
SUUR0000SAT,2004,M02,2004 Feb,106.3
SUUR0000SAT,2004,M03,2004 Mar,107.5
SUUR0000SAT,2004,M04,2004 Apr,108.4
SUUR0000SAT,2004,M05,2004 May,110.5
SUUR0000SAT,2004,M06,2004 Jun,110.8
SUUR0000SAT,2004,M07,2004 Jul,109.7
SUUR0000SAT,2004,M08,2004 Aug,108.9
SUUR0000SAT,2004,M09,2004 Sep,109.0
SUUR0000SAT,2004,M10,2004 Oct,111.2
SUUR0000SAT,2004,M11,2004 Nov,111.7
SUUR0000SAT,2004,M12,2004 Dec,110.2
SUUR0000SAT,2005,M01,2005 Jan,109.7
SUUR0000SAT,2005,M02,2005 Feb,111.0
SUUR0000SAT,2005,M03,2005 Mar,112.9
SUUR0000SAT,2005,M04,2005 Apr,115.8
SUUR0000SAT,2005,M05,2005 May,115.0
SUUR0000SAT,2005,M06,2005 Jun,114.8
SUUR0000SAT,2005,M07,2005 Jul,116.3
SUUR0000SAT,2005,M08,2005 Aug,118.2
SUUR0000SAT,2005,M09,2005 Sep,123.5
SUUR0000SAT,2005,M10,2005 Oct,122.3
SUUR0000SAT,2005,M11,2005 Nov,116.7
SUUR0000SAT,2005,M12,2005 Dec,114.5
SUUR0000SAT,2006,M01,2006 Jan,116.7
SUUR0000SAT,2006,M02,2006 Feb,116.6
SUUR0000SAT,2006,M03,2006 Mar,117.8
SUUR0000SAT,2006,M04,2006 Apr,122.5
SUUR0000SAT,2006,M05,2006 May,124.9
SUUR0000SAT,2006,M06,2006 Jun,124.7
SUUR0000SAT,2006,M07,2006 Jul,125.8
SUUR0000SAT,2006,M08,2006 Aug,125.4
SUUR0000SAT,2006,M09,2006 Sep,120.6
SUUR0000SAT,2006,M10,2006 Oct,116.6
SUUR0000SAT,2006,M11,2006 Nov,115.9
SUUR0000SAT,2006,M12,2006 Dec,117.0
SUUR0000SAT,2007,M01,2007 Jan,116.306
SUUR0000SAT,2007,M02,2007 Feb,116.476
SUUR0000SAT,2007,M03,2007 Mar,120.443
SUUR0000SAT,2007,M04,2007 Apr,123.684
SUUR0000SAT,2007,M05,2007 May,126.698
SUUR0000SAT,2007,M06,2007 Jun,126.269
SUUR0000SAT,2007,M07,2007 Jul,125.575
SUUR0000SAT,2007,M08,2007 Aug,123.636
SUUR0000SAT,2007,M09,2007 Sep,123.736
SUUR0000SAT,2007,M10,2007 Oct,124.119
SUUR0000SAT,2007,M11,2007 Nov,128.019
SUUR0000SAT,2007,M12,2007 Dec,127.515
SUUR0000SAT,2008,M01,2008 Jan,128.044
SUUR0000SAT,2008,M02,2008 Feb,127.936
SUUR0000SAT,2008,M03,2008 Mar,131.358
SUUR0000SAT,2008,M04,2008 Apr,134.094
SUUR0000SAT,2008,M05,2008 May,139.084
SUUR0000SAT,2008,M06,2008 Jun,143.462
SUUR0000SAT,2008,M07,2008 Jul,144.132
SUUR0000SAT,2008,M08,2008 Aug,140.264
SUUR0000SAT,2008,M09,2008 Sep,138.501
SUUR0000SAT,2008,M10,2008 Oct,131.449
SUUR0000SAT,2008,M11,2008 Nov,116.811
SUUR0000SAT,2008,M12,2008 Dec,109.300
SUUR0000SAT,2009,M01,2009 Jan,110.961
SUUR0000SAT,2009,M02,2009 Feb,113.135
SUUR0000SAT,2009,M03,2009 Mar,113.259
SUUR0000SAT,2009,M04,2009 Apr,114.967
SUUR0000SAT,2009,M05,2009 May,117.984
SUUR0000SAT,2009,M06,2009 Jun,123.533
SUUR0000SAT,2009,M07,2009 Jul,122.871
SUUR0000SAT,2009,M08,2009 Aug,123.879
SUUR0000SAT,2009,M09,2009 Sep,123.693
SUUR0000SAT,2009,M10,2009 Oct,124.602
SUUR0000SAT,2009,M11,2009 Nov,126.673
SUUR0000SAT,2009,M12,2009 Dec,126.503
SUUR0000SAT,2010,M01,2010 Jan,128.210
SUUR0000SAT,2010,M02,2010 Feb,127.456
SUUR0000SAT,2010,M03,2010 Mar,129.308
SUUR0000SAT,2010,M04,2010 Apr,130.557
SUUR0000SAT,2010,M05,2010 May,131.135
SUUR0000SAT,2010,M06,2010 Jun,129.514
SUUR0000SAT,2010,M07,2010 Jul,129.691
SUUR0000SAT,2010,M08,2010 Aug,129.956
SUUR0000SAT,2010,M09,2010 Sep,129.180
SUUR0000SAT,2010,M10,2010 Oct,130.420
SUUR0000SAT,2010,M11,2010 Nov,131.170
SUUR0000SAT,2010,M12,2010 Dec,133.060
SUUR0000SAT,2011,M01,2011 Jan,135.091
SUUR0000SAT,2011,M02,2011 Feb,136.588
SUUR0000SAT,2011,M03,2011 Mar,142.380
SUUR0000SAT,2011,M04,2011 Apr,146.166
SUUR0000SAT,2011,M05,2011 May,148.307
SUUR0000SAT,2011,M06,2011 Jun,145.910
SUUR0000SAT,2011,M07,2011 Jul,145.364
SUUR0000SAT,2011,M08,2011 Aug,145.320
SUUR0000SAT,2011,M09,2011 Sep,144.792
SUUR0000SAT,2011,M10,2011 Oct,142.656
SUUR0000SAT,2011,M11,2011 Nov,142.088
SUUR0000SAT,2011,M12,2011 Dec,140.038
SUUR0000SAT,2012,M01,2012 Jan,141.752
SUUR0000SAT,2012,M02,2012 Feb,144.501
SUUR0000SAT,2012,M03,2012 Mar,148.952
SUUR0000SAT,2012,M04,2012 Apr,150.290
SUUR0000SAT,2012,M05,2012 May,148.882
SUUR0000SAT,2012,M06,2012 Jun,146.065
SUUR0000SAT,2012,M07,2012 Jul,144.717
SUUR0000SAT,2012,M08,2012 Aug,147.703
SUUR0000SAT,2012,M09,2012 Sep,149.270
SUUR0000SAT,2012,M10,2012 Oct,148.274
SUUR0000SAT,2012,M11,2012 Nov,144.698
SUUR0000SAT,2012,M12,2012 Dec,142.920
SUUR0000SAT,2013,M01,2013 Jan,143.239
SUUR0000SAT,2013,M02,2013 Feb,148.114
SUUR0000SAT,2013,M03,2013 Mar,149.132
SUUR0000SAT,2013,M04,2013 Apr,147.692
SUUR0000SAT,2013,M05,2013 May,148.155
SUUR0000SAT,2013,M06,2013 Jun,148.453
SUUR0000SAT,2013,M07,2013 Jul,148.324
SUUR0000SAT,2013,M08,2013 Aug,147.862
